scheme,function,fault,source,test,detected,detail
mayo,EF,binOpFault/EF_line105_opA,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line105_opA,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line105_opB,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line105_opB,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line105_undef,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line105_undef,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line105_zero,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line105_zero,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line108_opA,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line108_opA,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line108_opB,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line108_opB,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line108_undef,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line108_undef,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line108_zero,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line108_zero,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line109_opA,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line109_opA,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line109_opB,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line109_opB,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line109_undef,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line109_undef,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line109_zero,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line109_zero,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line72_opA,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line72_opA,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line72_opB,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line72_opB,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line72_undef,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line72_undef,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line72_zero,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line72_zero,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line75_opA,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line75_opA,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line75_opB,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line75_opB,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line75_undef,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line75_undef,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line75_zero,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,binOpFault/EF_line75_zero,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line104_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line104_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line107_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line107_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line113_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line113_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line147_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line147_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line151_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line151_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line44_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line44_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line46_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line46_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line71_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line71_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line74_mem,correction_paired_result.txt,correction,no,no position with disagreeing pairs
mayo,EF,loadStoreSkip/EF_line74_mem,ineffective_paired_result.txt,ineffective,no,no position with disagreeing pairs
